iter	Passed	Remaining
0	1	147
1	2	125
2	3	114
3	4	102
4	5	100
5	6	99
6	7	98
7	8	97
8	9	95
9	10	94
10	11	93
11	12	91
12	13	90
13	14	89
14	15	89
15	16	88
16	17	86
17	18	85
18	19	83
19	20	82
20	21	81
21	22	79
22	23	78
23	24	77
24	25	75
25	26	74
26	27	73
27	28	72
28	28	70
29	30	70
30	31	69
31	32	68
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	60
38	38	59
39	39	58
40	39	57
41	40	55
42	41	54
43	41	53
44	42	52
45	43	51
46	45	50
47	46	50
48	47	49
49	47	47
50	48	46
51	49	46
52	50	45
53	51	44
54	52	42
55	53	41
56	54	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	58	34
63	60	33
64	60	32
65	61	31
66	62	30
67	63	29
68	63	28
69	64	27
70	65	26
71	65	25
72	66	24
73	67	23
74	68	22
75	68	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	16
81	73	16
82	73	15
83	74	14
84	75	13
85	75	12
86	76	11
87	77	10
88	77	9
89	78	8
90	78	7
91	79	6
92	80	6
93	80	5
94	81	4
95	81	3
96	82	2
97	82	1
98	83	0
99	83	0
